"ability_id","ability_name","ability_abbreviation","description_short","description_full","ability_type","ability_subtype","archetype_tags","unlock_level","unlock_source","subclass_filter","requires_ability","unlocks_ability","replaces_ability","modified_by","wow_cost_rage","bg3_action_cost","bg3_resource_cost","bg3_cooldown","bg3_file_type","bg3_spell_type","bg3_spell_success","bg3_target_conditions","damage_formula_bg3","status_applied","implementation_status","implementation_priority","implementation_notes"
"WAR__Seismic_Reverberation_","Seismic Reverberation","","very minor with Whirlwind, but highly effective for Mountain Thane.","very minor with Whirlwind, but highly effective for Mountain Thane.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Concussive_Blows_","Concussive Blows","","rather underwhelming due to only affecting the target which is interrupted, rather than increasin...","rather underwhelming due to only affecting the target which is interrupted, rather than increasing all damage dealt, though the reduced cooldown can be nice.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Berserker_Shout_","Berserker Shout","","seldom used group-wide fear breaker.","seldom used group-wide fear breaker.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Piercing_Howl_","Piercing Howl","","major AoE snare, offset by its cooldown.","major AoE snare, offset by its cooldown.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Bloodborne_","Bloodborne","","general bleed damage increase, which synergizes well with other bleed talents found throughout th...","general bleed damage increase, which synergizes well with other bleed talents found throughout the tree.","Passive","","","7","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Dreadnaught_","Dreadnaught","DN","a multitarget option for Overpower.","a multitarget option for Overpower.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Strength_of_Arms_","Strength of Arms","SoA","a single/two target power increase for Overpower.","a single/two target power increase for Overpower.","Passive","","","7","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__In_For_The_Kill_","In For The Kill","IftK","has the same duration of Colossus Smash, with good benefit against both single and multiple targets.","has the same duration of Colossus Smash, with good benefit against both single and multiple targets.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Test_of_Might_","Test of Might","ToM","stacks up a powerful strength buff, effectively extending the increased damage window created by ...","stacks up a powerful strength buff, effectively extending the increased damage window created by Colossus Smash.","Passive","","","7","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Blunt_Instruments_","Blunt Instruments","","a single target alternative to Warbreaker, which also extends the duration of In for the Kill and...","a single target alternative to Warbreaker, which also extends the duration of In for the Kill and Test of Might.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Warbreaker_","Warbreaker","WB","turns Colossus Smash into a multitarget attack, extremely important for effective AoE damage.","turns Colossus Smash into a multitarget attack, extremely important for effective AoE damage.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Massacre_","Massacre","","allows more frequent use of Execute.","allows more frequent use of Execute.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Storm_of_Swords_","Storm of Swords","","largely unnecessary, resulting in overcapping.","largely unnecessary, resulting in overcapping.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Bloodcraze_","Bloodcraze","","creates strong synergy between Raging Blow and Bloodthirst, though it resets after any critical s...","creates strong synergy between Raging Blow and Bloodthirst, though it resets after any critical strike from Bloodthirst.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Recklessness_","Recklessness","Reck","Fury's primary offensive cooldown, greatly increasing rage generation and the frequency of Rampag...","Fury's primary offensive cooldown, greatly increasing rage generation and the frequency of Rampage casts.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Wrath_and_Fury_","Wrath and Fury","","a moderate damage and reset chance increase for Raging Blow.","a moderate damage and reset chance increase for Raging Blow.","Passive","","","7","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Meat_Cleaver_","Meat Cleaver","","reduces the amount of Whirlwind casts needed to maintain multitarget cleave.","reduces the amount of Whirlwind casts needed to maintain multitarget cleave.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Tough_as_Nails_","Tough as Nails","TaN","Passive damage output whenever you block an attack, recently buffed, however, still not a popular...","Passive damage output whenever you block an attack, recently buffed, however, still not a popular or strong choice.","Passive","","","7","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Shield_Wall_","Shield Wall","SW","Iconic, mandatory defensive cooldown. The ultimate tank defensive cooldown. Take it.","Iconic, mandatory defensive cooldown. The ultimate tank defensive cooldown. Take it.","Defensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Enduring_Defenses_","Enduring Defenses","ED","Incredible defensive bonus, simply grants 33% more Shield Block uptime. Massive increase to Prote...","Incredible defensive bonus, simply grants 33% more Shield Block uptime. Massive increase to Protection Warriors ability to survive damage in any situation.","Passive","","","7","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Unyielding_Stance","Unyielding Stance","","Simple increase of  Defensive Stance damage reduction. Required for pathing.","Simple increase of  Defensive Stance damage reduction. Required for pathing.","Passive","","","7","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Red_Right_Hand","Red Right Hand","","Simple increase of  Execute damage. Great in combination with other Execute talents.","Simple increase of  Execute damage. Great in combination with other Execute talents.","Passive","","","7","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Cruel_Strikes_","Cruel Strikes","","a minor increase to Execute, smaller than it may seem.","a minor increase to Execute, smaller than it may seem.","Passive","","","8","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Wild_Strikes_","Wild Strikes","","deceptively powerful due to the already high frequency of auto-attacks.","deceptively powerful due to the already high frequency of auto-attacks.","Offensive","","","8","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Dual_Wield_Specialization_","Dual Wield Specialization","","a must-have passive damage increase.","a must-have passive damage increase.","Passive","","","8","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Armored_to_the_Teeth_","Armored to the Teeth","","near indispensable damage increase that helps gear scaling over the course of an expansion.","near indispensable damage increase that helps gear scaling over the course of an expansion.","Passive","","","8","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Deft_Experience_","Deft Experience","","a minor Mastery increase, with the much more important effect of doubling the chance to trigger T...","a minor Mastery increase, with the much more important effect of doubling the chance to trigger Tactician.","Passive","","","8","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Valor_in_Victory_","Valor in Victory","","a minor Versatility increase, which also reduces the cooldown of Die by the Sword.","a minor Versatility increase, which also reduces the cooldown of Die by the Sword.","Passive","","","8","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Critical_Thinking_","Critical Thinking","","a minor Critical Strike increase, with a very impactful rage refund for Execute, which is also ad...","a minor Critical Strike increase, with a very impactful rage refund for Execute, which is also additive with Improved Execute for a combined 30% refund.","Passive","","","8","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Raging_Armaments_","Raging Armaments","","minor mastery buff, with a very important Enrage extension, which helps keep Bloodthirst active i...","minor mastery buff, with a very important Enrage extension, which helps keep Bloodthirst active in the rotation.","Passive","","","8","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Swift_Strikes_","Swift Strikes","","a minor haste buff, with a small rage generation increase which adds up significantly over the co...","a minor haste buff, with a small rage generation increase which adds up significantly over the course of a dungeon or encounter.","Passive","","","8","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Defender_s_Aegis","Defender's Aegis","DA","Grants a 2nd charge of  Shield Wall and significantly reduces the base cooldown.","Grants a 2nd charge of  Shield Wall and significantly reduces the base cooldown.","Passive","","","8","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Impenetrable_Wall","Impenetrable Wall","Imp Wall","Reduces the cooldown of  Shield Wall whenever you cast  Shield Slam.","Reduces the cooldown of  Shield Wall whenever you cast  Shield Slam.","Defensive","","","8","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Focused_Vigor_","Focused Vigor","FV","Amazing Talent, offers huge amounts of damage output and Armor for just 1 Talent point, not manda...","Amazing Talent, offers huge amounts of damage output and Armor for just 1 Talent point, not mandatory for pathing but heavily encouraged to pick up!","Offensive","","","8","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Shield_Specialization_","Shield Specialization","","Outstanding defensive bonus. Greatly reduces damage taken from blockable hits and is crucial for ...","Outstanding defensive bonus. Greatly reduces damage taken from blockable hits and is crucial for pathing to the Talents that enable the ""Rage Feedback Machine"" further.","Defensive","","","8","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Enduring_Alacrity_","Enduring Alacrity","EA","A significant increase in Health and 2% Haste gain makes this talent one of the most attractive t...","A significant increase in Health and 2% Haste gain makes this talent one of the most attractive talents on our talent tree.","Passive","","","8","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Thunderous_Roar_","Thunderous Roar","Roar","stronger than it may seem, due to its bleed damage being uncapped, allowing it to fully damage an...","stronger than it may seem, due to its bleed damage being uncapped, allowing it to fully damage any number of extra targets.","Offensive","","","9","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Avatar_","Avatar","Ava","one of the main personal cooldowns that should always be taken.","one of the main personal cooldowns that should always be taken.","Offensive","","","9","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Champion_s_Spear_","Champion's Spear","Spear","aligns well with other 90s cooldowns, though not generally as useful as Thunderous Roar.","aligns well with other 90s cooldowns, though not generally as useful as Thunderous Roar.","Offensive","","","9","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Battlelord_","Battlelord","","creates an entertaining gameplay loop of Mortal Strike refreshing Overpower via Tactician and Ove...","creates an entertaining gameplay loop of Mortal Strike refreshing Overpower via Tactician and Overpower refreshing Mortal Strike via Battlelord.","Offensive","","","9","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Bloodletting_","Bloodletting","","a very important bleed damage increase, which reduces the amount of maintenance required to maint...","a very important bleed damage increase, which reduces the amount of maintenance required to maintain the debuffs and synergizes very well with Skullsplitter and Thunderous Roar/Words.","Passive","","","9","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Bladestorm_","Bladestorm","BS","Arms major multitarget cooldown, with several very powerful follow-on talents.","Arms major multitarget cooldown, with several very powerful follow-on talents.","Offensive","","","9","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Ravager_","Ravager","Rav","a passive alternative to Bladestorm, more suited for use against individual targets.","a passive alternative to Bladestorm, more suited for use against individual targets.","Passive","","","9","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Sharpened_Blades_","Sharpened Blades","","a moderate damage increase for Arms' most important rotational abilities.","a moderate damage increase for Arms' most important rotational abilities.","Passive","","","9","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Juggernaut_","Juggernaut","","provides a large ramping damage increase, though not well suited for short encounters and suscept...","provides a large ramping damage increase, though not well suited for short encounters and susceptible to dropping during downtime.","Passive","","","9","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Onslaught_","Onslaught","Ons","a moderately strong standalone attack, which helps fill extra GCDs in the rotation.","a moderately strong standalone attack, which helps fill extra GCDs in the rotation.","Offensive","","","9","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Reckless_Abandon_","Reckless Abandon","RA","causes Bloodthirst and Raging Blow to be replaced by stronger versions - Bloodbath and Crushing B...","causes Bloodthirst and Raging Blow to be replaced by stronger versions - Bloodbath and Crushing Blow, creating a powerful gameplay loop.","Offensive","","","9","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Odyn_s_Fury_","Odyn's Fury","OF","a very powerful burst damage attack with a short lingering bleed.","a very powerful burst damage attack with a short lingering bleed.","Offensive","","","9","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Booming_Voice_","Booming Voice","BV","Turns Demoralizing Shout into a good offensive cooldown and Rage generation tool. Grants 30 rage ...","Turns Demoralizing Shout into a good offensive cooldown and Rage generation tool. Grants 30 rage and synergizes very nicely with","Passive","","","9","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Indomitable_","Indomitable","Indom","Extremely valuable defensive talent. Substantially increases tankiness and grants a steady trickl...","Extremely valuable defensive talent. Substantially increases tankiness and grants a steady trickle of self-healing. Mandatory if you want to call yourself a tank.","Passive","","","9","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Violent_Outburst_","Violent Outburst","Outburst or VO","Excellent Rage generation increase, one of the vital pillarstones to the ""Rage Feedback Machine"" ...","Excellent Rage generation increase, one of the vital pillarstones to the ""Rage Feedback Machine"" to deal huge amounts of damage and be an absolute brick house of a tank.","Passive","","","9","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Heavy_Handed","Heavy Handed","","Allows  Execute to strike 2 additional targets for a reduced amount. Great for raiding and overal...","Allows  Execute to strike 2 additional targets for a reduced amount. Great for raiding and overall damage output!","Offensive","","","9","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Uproar_","Uproar","","keeps Thunderous Roar aligned with Avatar and other cooldowns, provides a noticeable overall dama...","keeps Thunderous Roar aligned with Avatar and other cooldowns, provides a noticeable overall damage increase, especially in multitarget.","Passive","","","10","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Thunderous_Words_","Thunderous Words","","increases the damage of all bleeds only while Thunderous Roar is active, creating powerful burst ...","increases the damage of all bleeds only while Thunderous Roar is active, creating powerful burst windows that synergize well with Odyn's Fury.","Passive","","","10","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Berserker_s_Torment_","Berserker's Torment","","highly effective and extends the duration of their normal counterparts.","highly effective and extends the duration of their normal counterparts.","Offensive","","","10","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Titan_s_Torment_","Titan's Torment","","very strong AoE damage increase, which synergizes with other additional effects from Odyn's Fury.","very strong AoE damage increase, which synergizes with other additional effects from Odyn's Fury.","Passive","","","10","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Piercing_Challenge_","Piercing Challenge","","a minor overall damage increase, though the extra rage generation is largely irrelevant.","a minor overall damage increase, though the extra rage generation is largely irrelevant.","Passive","","","10","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Champion_s_Might_","Champion's Might","","a short but powerful damage window, which now activates on the target instead of requiring the pl...","a short but powerful damage window, which now activates on the target instead of requiring the player to stand within a specific location.","Offensive","","","10","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Fatality_","Fatality","","provides increased damage during Execute, while keeping the abilities used before Execute relevan...","provides increased damage during Execute, while keeping the abilities used before Execute relevant. It cannot critically strike and does not benefit from class buffs such as Colossus Smash or Avatar, but it can be buffed by primary stat increases like Test of Might or potions.","Passive","","","10","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Dance_of_Death_","Dance of Death","","provides a significant damage increase for Bladestorm and can be chained from pack to pack, but t...","provides a significant damage increase for Bladestorm and can be chained from pack to pack, but the timing does not work cleanly with all of Bladestorm's other follow-on talents.","Passive","","","10","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Unhinged_","Unhinged","","a significant single/two target damage increase while using Bladestorm or Ravager, highly effecti...","a significant single/two target damage increase while using Bladestorm or Ravager, highly effective in combination with other effects that synergize with Mortal Strike.","Passive","","","10","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Merciless_Bonegrinder_","Merciless Bonegrinder","","a major damage increase for Cleave or Whirlwind, creating strong AoE damage windows.","a major damage increase for Cleave or Whirlwind, creating strong AoE damage windows.","Passive","","","10","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Executioner_s_Precision_","Executioner's Precision","EP","provides great value to Mortal Strike, keeping the ability relevant during Execute.","provides great value to Mortal Strike, keeping the ability relevant during Execute.","Offensive","","","10","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Tenderize_","Tenderize","","greatly increases the value of Onslaught, both in jumpstarting the rotation and increasing the da...","greatly increases the value of Onslaught, both in jumpstarting the rotation and increasing the damage of Rampage.","Passive","","","10","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Storm_of_Steel_","Storm of Steel","","gives Ravager a second charge, which is fairly important in most content.","gives Ravager a second charge, which is fairly important in most content.","Utility","","","10","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Unbridled_Ferocity_","Unbridled Ferocity","","randomly triggers Recklessness, though its low proc chance leaves it generally uncompetitive.","randomly triggers Recklessness, though its low proc chance leaves it generally uncompetitive.","Offensive","","","10","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Depths_of_Insanity_","Depths of Insanity","","generally uncompetitive, due to its small impact on overall uptime.","generally uncompetitive, due to its small impact on overall uptime.","Offensive","","","10","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Dancing_Blades_","Dancing Blades","","triggers a large auto-attack buff, which provides a bonus to Odyn's Fury's single target value.","triggers a large auto-attack buff, which provides a bonus to Odyn's Fury's single target value.","Offensive","","","10","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Titanic_Rage_","Titanic Rage","","a minor damage buff, but jumpstarts the AoE rotation by auto-applying important buffs, with even ...","a minor damage buff, but jumpstarts the AoE rotation by auto-applying important buffs, with even greater synergy in combination with Titan's","Offensive","","","10","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Shield_Charge_","Shield Charge","SC","Decent offensive cooldown and Rage generation tool. It is not great on its own, but it is good wi...","Decent offensive cooldown and Rage generation tool. It is not great on its own, but it is good with the talent synergy below. Grants 20 rage. It deals slightly more single-target damage than Ravager, but less AoE damage.","Passive","","","10","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Battle_Scarred_Veteran_","Battle-Scarred Veteran","BSV","Reactive defensive cooldown that provides a ton of damage reduction and increased healing taken. ...","Reactive defensive cooldown that provides a ton of damage reduction and increased healing taken. The 3-minute cooldown is long. After FINALLY being fixed in 10.2.7, this Talent is properly useful for new players and may have niche applications in high keys as a planned defensive. Great tool to recover from a mistake or generally when in trouble.","Passive","","","10","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Whirling_Blade","Whirling Blade","","This talent randomly sends out more frequent and shorter versions of  Ravager.","This talent randomly sends out more frequent and shorter versions of  Ravager.","Offensive","","","10","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Lightning_Strikes","Lightning Strikes","","","","Passive","","","13","Hero Talent","Protection,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Demolish","Demolish","","","","Passive","","","13","Hero Talent","Arms,Protection","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Slayer_s_Dominance","Slayers Dominance","","","","Passive","","","13","Hero Talent","Arms,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Crashing_Thunder","Crashing Thunder","","","","Passive","","","15","Hero Talent","Protection,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Ground_Current","Ground Current","","","","Offensive","","","15","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Strength_of_the_Mountain","Strength of the Mountain","","","","Offensive","","","15","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Martial_Expert","Martial Expert","","","","Passive","","","15","Hero Talent","Arms,Protection","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Colossal_Might","Colossal Might","","","","Offensive","","","15","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Earthquake","Earthquake","","","","Offensive","","","15","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Imminent_Demise","Imminent Demise","","","","Passive","","","15","Hero Talent","Arms,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Thunder_Blast","Thunder Blast","","","","Passive","","","17","Hero Talent","Protection,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Storm_Bolts","Storm Bolts","","","","Offensive","","","17","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Keep_your_feet_on_the_Ground","Keep your feet on the Ground","","","","Offensive","","","17","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Arterial_Bleed","Arterial Bleed","","","","Passive","","","17","Hero Talent","Arms,Protection","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Tide_of_Battle","Tide of Battle","","","","Offensive","","","17","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_No_Stranger_to_Pain","No Stranger to Pain","","","","Offensive","","","17","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Death_Drive","Death Drive","","","","Passive","","","17","Hero Talent","Arms,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Flashing_Skies","Flashing Skies","","","","Passive","","","19","Hero Talent","Protection,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Thorim_s_Might","Thorims Might","","","","Offensive","","","19","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Burst_of_Power","Burst of Power","","","","Offensive","","","19","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Practiced_Strikes","Practiced Strikes","","","","Passive","","","19","Hero Talent","Arms,Protection","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Precise_Might","Precise Might","","","","Offensive","","","19","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Mountain_of_Muscle_and_Scars","Mountain of Muscle and Scars","","","","Offensive","","","19","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Show_No_Mercy","Show No Mercy","","","","Passive","","","19","Hero Talent","Arms,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Avatar_of_the_Storm","Avatar of the Storm","","","","Passive","","","20","Hero Talent","Protection,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Dominance_of_the_Colossus","Dominance of the Colossus","","","","Passive","","","20","Hero Talent","Arms,Protection","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Unrelenting_Onslaught","Unrelenting Onslaught","","","","Passive","","","20","Hero Talent","Arms,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
