"ability_id","ability_name","ability_abbreviation","description_short","description_full","ability_type","ability_subtype","archetype_tags","warrior_unlock","arms_unlock","fury_unlock","protection_unlock","unlock_source","subclass_filter","requires_ability","unlocks_ability","replaces_ability","modified_by","wow_cost_rage","bg3_action_cost","bg3_resource_cost","bg3_cooldown","bg3_file_type","bg3_spell_type","bg3_spell_success","bg3_target_conditions","damage_formula_bg3","status_applied","implementation_status","implementation_priority","implementation_notes"
"WAR__Rampage_","Rampage","Ramp","the core of Fury's rotation, converting rage into damage and Enrage.","the core of Fury's rotation, converting rage into damage and Enrage.","Offensive","","Fury,Burst,Enrage","","","5","","Baseline","All","","","","","80","Action","","","Spell_Target","Target","DealDamage(1d6+StrengthModifier,Slashing);DealDamage(1d6+StrengthModifier,Slashing);DealDamage(1d6+StrengthModifier,Slashing);DealDamage(1d6+StrengthModifier,Slashing);ApplyStatus(WAR_ENRAGED,100,4)","","4*(1d6+StrengthModifier),Slashing","","Not Started","","Wowhead: https://www.wowhead.com/spell=184367"
"WAR__Improved_Raging_Blow_","Improved Raging Blow","","critical talent which enables Raging Blow resets.","critical talent which enables Raging Blow resets.","Passive","","Fury,Raging-Blow-Enhancement,Reset-Mechanic","","","","","Baseline","All","","","","Raging Blow","","Action","","","Passive","Target","","","","","Not Started","","Critical talent - enables Raging Blow resets. 20% chance per cast."
"WAR__Last_Stand_","Last Stand","LS","Basic defensive cooldown, grants bonus health for 15 seconds. Good reactive cooldown. Mandatory t...","Basic defensive cooldown, grants bonus health for 15 seconds. Good reactive cooldown. Mandatory talent.","Passive","","Protection,Defensive,Cooldown","","","","5","Baseline","All","","","","","","None","","3 minutes (OncePerCombat)","Spell_Shout","Shout","ApplyStatus(SELF,WAR_LAST_STAND,100,10)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=12975"
"WAR__Instigate_","Instigate","","Basically auto-attack rage generation by 2 and performs very well.","Basically auto-attack rage generation by 2 and performs very well.","Passive","","Protection,Rage-Generation,Auto-Attack","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Increases auto-attack rage generation by 2. Performs very well for tanks."
"WAR__Rend_","Rend","","Excellent DPS increase applied passively by","Excellent DPS increase applied passively by","Passive","","Passive,DoT,Bleed","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Applies damage over time effect"
"WAR__Brutal_Vitality_","Brutal Vitality","BrV","This grants ~8% Leech whenever Ignore Pain is active. It's a decent boost to self-sustain, especi...","This grants ~8% Leech whenever Ignore Pain is active. It's a decent boost to self-sustain, especially since the dmg from","Passive","","Passive,Healing,Leech","","","","5","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Leech - percentage of damage heals you"
"WAR__Honed_Reflexes_","Honed Reflexes","","Reduces most defensive cooldowns by a very minor amount.","Reduces most defensive cooldowns by a very minor amount.","Passive","","Defensive,Cooldown-Reduction","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Reduces defensive cooldowns by minor amount. General survivability passive."
"WAR__Crushing_Force_","Crushing Force","","major damage increase for Slam.","major damage increase for Slam.","Passive","","Passive,Enhancement,Major-Boost","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Major enhancement passive - research specific mechanics needed"
"WAR__Bitter_Immunity_","Bitter Immunity","","highly situational due to its long cooldown.","highly situational due to its long cooldown.","Passive","","Defensive,CC-Immunity,Situational","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Highly situational due to long cooldown. Grants immunity to specific effects."
"WAR__Overwhelming_Rage_","Overwhelming Rage","","eases the burdens of rage management.","eases the burdens of rage management.","Passive","","Fury,Rage-Generation","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Increases maximum Rage by 15-20 and eases rage management burdens."
"WAR__Rumbling_Earth_","Rumbling Earth","","greatly increases the usefulness of Shockwave when using it regularly against groups.","greatly increases the usefulness of Shockwave when using it regularly against groups.","Passive","","Passive,Enhancement,Major-Boost","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Major enhancement passive - research specific mechanics needed"
"WAR__Reinforced_Plates_","Reinforced Plates","","synergizes with Armored to the Teeth to provide additional damage.","synergizes with Armored to the Teeth to provide additional damage.","Passive","","Passive,Armor,Damage-Synergy","","","","","Baseline","All","Armored to the Teeth","","","","","Action","","","Passive","Target","","","","","Not Started","","Synergizes with Armored to the Teeth. Provides armor and damage boost."
"WAR__Skullsplitter_","Skullsplitter","SkS","condenses bleed damage into short cooldown windows and generates a moderate amount of rage.","condenses bleed damage into short cooldown windows and generates a moderate amount of rage.","Offensive","","Arms,Rage-Generation,Single-Target","","6","","","Baseline","All","","","","","","Action","","None","Spell_Target","Target","DealDamage(2d8+StrengthModifier,Physical);RestoreResource(Rage,15,0)","","2d8+StrengthModifier,Physical","","Not Started","","Rage generator for Arms"
"WAR__Finishing_Blows_","Finishing Blows","","increases rage generation during the Execute phase to fuel its higher costs.","increases rage generation during the Execute phase to fuel its higher costs.","Passive","","Passive,Rage-Generation","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Increases Rage generation under specific conditions"
"WAR__Anger_Management_","Anger Management","AM","an indispensable talent, creating more frequent increased damage windows.","an indispensable talent, creating more frequent increased damage windows.","Passive","","Passive,Cooldown-Reduction,Critical","","6","9","8","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Indispensable talent - reduces cooldowns, creates more frequent damage windows."
"WAR__Spiteful_Serenity_","Spiteful Serenity","","a very underwhelming talent with its own negative bonus in addition to strong competition in Ange...","a very underwhelming talent with its own negative bonus in addition to strong competition in Anger Management.","Passive","","Fury,Enrage,Underwhelming","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Very underwhelming talent with negative bonus. Strong competition from other talents."
"WAR__Exhilarating_Blows_","Exhilarating Blows","","allows more casts of Mortal Strike and Cleave.","allows more casts of Mortal Strike and Cleave.","Passive","","Arms,Rage-Reduction,Cost-Reduction","","","","","Baseline","All","","","","Mortal Strike,Cleave","","Action","","","Passive","Target","","","","","Not Started","","Reduces Mortal Strike and Cleave rage costs. Allows more frequent casts."
"WAR__Collateral_Damage_","Collateral Damage","","gains a stack for each single target attack cleaved by Sweeping Strikes, which includes the free ...","gains a stack for each single target attack cleaved by Sweeping Strikes, which includes the free Slam cast by Fervor of Battle, creating great synergy between them.","Passive","","Arms,AoE,Cleave,Stacking-Buff","","","","","Baseline","All","Sweeping Strikes","","","","","Action","","","Passive","Target","","","","","Not Started","","Gains stacks for each single-target attack cleaved by Sweeping Strikes. Increases next AoE damage."
"WAR__Cleave_","Cleave","","Arms' primary multitarget attack, which also inflicts Deep Wounds.","Arms' primary multitarget attack, which also inflicts Deep Wounds.","Offensive","","Arms,AoE,Bleed","","","","","Baseline","All","","","","","20","Action","","","Spell_Zone","Zone","DealDamage(2d6+StrengthModifier,Slashing);ApplyStatus(WAR_DEEP_WOUNDS,100,3)","","2d6+StrengthModifier,Slashing","","Not Started","","Wowhead: https://www.wowhead.com/spell=845"
"WAR__Single","Single","","Minded Fury- increase the effectiveness of dual wielding one-handed weapons, but not by enough t...","Minded Fury- increase the effectiveness of dual wielding one-handed weapons, but not by enough to make them competitive with two-handed weapons.","Passive","","Fury,Dual-Wield,Weapon-Specialization","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Single-Minded Fury - increases effectiveness of dual-wielding one-handed weapons."
"WAR__Cold_Steel_Hot_Blood_","Cold Steel, Hot Blood","CSHB","inflicts a powerful bleed, which can be applied to multiple targets via Whirlwind.","inflicts a powerful bleed, which can be applied to multiple targets via Whirlwind.","Passive","","Arms,DoT,Bleed,Whirlwind-Enhancement","","","6","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Inflicts powerful bleed on critical hits. Can be applied to multiple targets via Whirlwind Meat Cleaver."
"WAR__Vicious_Contempt_","Vicious Contempt","VC","promotes Bloodthirst playstyles by greatly increasing its damage during the execute phase.","promotes Bloodthirst playstyles by greatly increasing its damage during the execute phase.","Passive","","Fury,Execute-Build,Bloodthirst-Enhancement","","","6","","Baseline","All","","","","Bloodthirst","","Action","","","Passive","Target","","","","","Not Started","","Greatly increases Bloodthirst damage during execute phase (<35% HP). Promotes Bloodthirst playstyles."
"WAR__Frenzy_","Frenzy","","semi-passive haste buff, with the downside of easily falling off when regularly switching targets.","semi-passive haste buff, with the downside of easily falling off when regularly switching targets.","Passive","","Passive,Haste,Attack-Speed","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Haste passive - BG3 equivalent could be bonus action or extra attack"
"WAR__Hack_and_Slash_","Hack and Slash","HnS/H&S","very important reset mechanic for Raging Blow builds.","very important reset mechanic for Raging Blow builds.","Passive","","Fury,Proc,Raging-Blow-Build","","","6","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Very important reset mechanic for Raging Blow builds. Auto-attacks have 10% chance to reset."
"WAR__Slaughtering_Strikes_","Slaughtering Strikes","","provides a significant damage boost for Rampage and greatly emphasizes Raging Blow's role in the ...","provides a significant damage boost for Rampage and greatly emphasizes Raging Blow's role in the rotation.","Passive","","Fury,Damage-Boost,Rampage-Enhancement","","","","","Baseline","All","","","","Rampage","","Action","","","Passive","Target","","","","","Not Started","","Significant damage boost for Rampage. Greatly emphasizes Raging Blow usage."
"WAR__Ashen_Juggernaut_","Ashen Juggernaut","","provides a significant damage boost when using Execute regularly.","provides a significant damage boost when using Execute regularly.","Passive","","Execute-Build,Fury,Damage-Boost","","","","","Baseline","All","Execute","","","","","Action","","","Passive","Target","","","","","Not Started","","Significant damage boost when using Execute regularly. Stacks up during execute phase."
"WAR__Improved_Whirlwind_","Improved Whirlwind","","enables Fury's ability to cleave single target attacks onto other targets, forming the basis of i...","enables Fury's ability to cleave single target attacks onto other targets, forming the basis of its multitarget rotation.","Passive","","Fury,AoE,Cleave-Mechanic","","","","","Baseline","All","","","","Whirlwind","","Action","","","Passive","Target","","","","","Not Started","","Enables Fury's cleave mechanics. Core Fury talent - single-target attacks hit additional targets after Whirlwind."
"WAR__Unnerving_Focus_","Unnerving Focus","","Increases Rage Generation while Last Stand is active. Has rarely seen play.","Increases Rage Generation while Last Stand is active. Has rarely seen play.","Passive","","Passive,Rage-Generation","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Increases Rage generation under specific conditions"
"WAR_Bolster","Bolster","","Reduces the cooldown of  Last Stand to 2 minutes and grants  Shield Block. Can find a niche appli...","Reduces the cooldown of  Last Stand to 2 minutes and grants  Shield Block. Can find a niche application if the lower cooldown is beneficial.","Passive","","Passive,Cooldown-Reduction","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Reduces cooldowns - BG3 implementation may need custom functor"
"WAR__Thunderlord_","Thunderlord","TL","Good cooldown reduction for demoralizing Shout that synergizes with other talents in the tree. Go...","Good cooldown reduction for demoralizing Shout that synergizes with other talents in the tree. Good talent in AoE, very mediocre in single target.","Passive","","Protection,Cooldown-Reduction,Defensive","","","","6","Baseline","All","","","","Demoralizing Shout","","Action","","","Passive","Target","","","","","Not Started","","Good cooldown reduction for Demoralizing Shout. Synergizes with other talents."
"WAR_Sudden_Death","Sudden Death","SD","Excellent single-target damage proc, adds up to quite a bit of damage throughout a raid fight.","Excellent single-target damage proc, adds up to quite a bit of damage throughout a raid fight.","Offensive","","Execute-Build,Proc,Fury","","4","4","6","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Proc that enables Execute outside execute phase"
"WAR_Heavy_Repercussions","Heavy Repercussions","HR","Increases Rage Generation of  Shield Slam by 2, which is also multiplied by  Violent Outburst. Bu...","Increases Rage Generation of  Shield Slam by 2, which is also multiplied by  Violent Outburst. But more importantly, it increases  Shield Block duration by 1 second every time you press  Shield Slam, resulting in pretty much infinite  Shield Block uptime. Mandatory pick for low haste levels early in an expansion.","Passive","","Passive,Rage-Generation","","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Increases Rage generation under specific conditions"
"WAR_Punish","Punish","","Increases  Shield Slam damage and causes the hit enemy to deal less damage to you.","Increases  Shield Slam damage and causes the hit enemy to deal less damage to you.","Passive","","Protection,Shield-Slam-Enhancement,Mitigation","","","","","Baseline","All","","","","Shield Slam","","None","","","Passive","N/A","","","","","Not Started","","Increases Shield Slam damage. Hit enemy deals less damage to you."
"WAR_Hunker_Down","Hunker Down","","Increases  Spell Reflection magic damage reduction and grants you 2% passive AoE damage reduction.","Increases  Spell Reflection magic damage reduction and grants you 2% passive AoE damage reduction.","Passive","","Passive,Defensive,Mitigation","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Passive damage mitigation"
"WAR__Vanguard_","Vanguard","","Simple defensive aura, reduces your damage taken, increases your Stamina and Armor.","Simple defensive aura, reduces your damage taken, increases your Stamina and Armor.","Passive","","Passive,Defensive,Mitigation","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Passive damage mitigation"
"WAR__Wrecking_Throw_","Wrecking Throw","","highly effective against absorption shields, though rarely a major gain.","highly effective against absorption shields, though rarely a major gain.","Defensive","","Utility,Shield-Break,Single-Target","","","","","Baseline","All","","","","","","Action","","45 seconds","Spell_Projectile","Projectile","RemoveStatus(TARGET,ABSORPTION_SHIELDS);DealDamage(1d6,Physical)","","","","Not Started","","Highly effective against absorption shields. Rarely major gain in PvE."
"WAR__Shattering_Throw_","Shattering Throw","","immunity breaking version of Wrecking Throw, rarely used in PvE.","immunity breaking version of Wrecking Throw, rarely used in PvE.","Offensive","","Utility,Immunity-Break,Single-Target","","","","","Baseline","All","","","","","","Action","","3 minutes","Spell_Projectile","Projectile","RemoveStatus(TARGET,IMMUNITY);DealDamage(1d8,Physical)","","","","Not Started","","Immunity-breaking throw. Rarely used in PvE, more common in PvP."
"WAR__Sidearm_","Sidearm","","minor passive damage increase.","minor passive damage increase.","Passive","","Passive,Rage-Generation,Throw","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Minor passive damage increase. Increases throwing weapon effectiveness."
"WAR__Double_Time_","Double Time","","a must-have mobility increase.","a must-have mobility increase.","Passive","","Utility,Mobility,Charge-Enhancement","","","","","Baseline","All","","","","Charge","","None","","","Passive","N/A","","","","","Not Started","","Must-have mobility increase. Grants 2 charges of Charge instead of 1."
"WAR__Seismic_Reverberation_","Seismic Reverberation","","very minor with Whirlwind, but highly effective for Mountain Thane.","very minor with Whirlwind, but highly effective for Mountain Thane.","Passive","","Fury,AoE,Mountain-Thane,Whirlwind-Enhancement","","","","","Baseline","All","Whirlwind","","","","","Action","","","Passive","Target","","","","","Not Started","","Very minor with base Whirlwind, but highly effective for Mountain Thane builds."
"WAR__Concussive_Blows_","Concussive Blows","","rather underwhelming due to only affecting the target which is interrupted, rather than increasin...","rather underwhelming due to only affecting the target which is interrupted, rather than increasing all damage dealt, though the reduced cooldown can be nice.","Passive","","Utility,Interrupt,Stun","","","","","Baseline","All","Pummel","","","","","Action","","","Passive","Target","","","","","Not Started","","Underwhelming - only affects interrupted target, not AoE. 3s stun after successful interrupt."
"WAR__Berserker_Shout_","Berserker Shout","","seldom used group-wide fear breaker.","seldom used group-wide fear breaker.","Offensive","","Utility,AoE,CC-Break,Fear-Removal","","","","","Baseline","All","","","","","","Action","","60 seconds","Spell_Shout","Shout","RemoveStatus(SELF_AND_ALLIES,FRIGHTENED)","","","","Not Started","","Group-wide fear breaker. Seldom used outside PvP."
"WAR__Piercing_Howl_","Piercing Howl","","major AoE snare, offset by its cooldown.","major AoE snare, offset by its cooldown.","Offensive","","Utility,AoE,CC,Snare","","","","","Baseline","All","","","","","","Action","","30 seconds","Spell_Shout","Shout","ApplyStatus(NEARBY_ENEMIES,SLOWED,100,6)","","","","Not Started","","Major AoE snare/slow. 30s cooldown. Good for kiting or controlling adds."
"WAR__Bloodborne_","Bloodborne","","general bleed damage increase, which synergizes well with other bleed talents found throughout th...","general bleed damage increase, which synergizes well with other bleed talents found throughout the tree.","Passive","","Passive,DoT,Bleed","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Applies damage over time effect"
"WAR__Dreadnaught_","Dreadnaught","DN","a multitarget option for Overpower.","a multitarget option for Overpower.","Passive","","Arms,AoE,Overpower-Enhancement","","7","","","Baseline","All","","","","Overpower","","Action","","","Passive","Target","","","","","Not Started","","Multitarget option for Overpower. Allows hitting 2 targets instead of 1."
"WAR__Strength_of_Arms_","Strength of Arms","SoA","a single/two target power increase for Overpower.","a single/two target power increase for Overpower.","Passive","","Arms,Overpower-Enhancement,Damage-Boost","","7","","","Baseline","All","","","","Overpower","","None","","","Passive","N/A","","","","","Not Started","","Single/two target power increase for Overpower."
"WAR__In_For_The_Kill_","In For The Kill","IftK","has the same duration of Colossus Smash, with good benefit against both single and multiple targets.","has the same duration of Colossus Smash, with good benefit against both single and multiple targets.","Passive","","Arms,Colossus-Build,Haste-Buff","","7","","","Baseline","All","Colossus Smash","","","","","Action","","","Passive","Target","","","","","Not Started","","Same duration as Colossus Smash. Good benefit against single and multitarget."
"WAR__Test_of_Might_","Test of Might","ToM","stacks up a powerful strength buff, effectively extending the increased damage window created by ...","stacks up a powerful strength buff, effectively extending the increased damage window created by Colossus Smash.","Passive","","Arms,Colossus-Build,Damage-Boost","","7","","","Baseline","All","Colossus Smash","","","","","None","","","Passive","N/A","","","","","Not Started","","Modifies Colossus Smash to buff caster"
"WAR__Blunt_Instruments_","Blunt Instruments","","a single target alternative to Warbreaker, which also extends the duration of In for the Kill and...","a single target alternative to Warbreaker, which also extends the duration of In for the Kill and Test of Might.","Passive","","Arms,Colossus-Build,Duration-Extension","","","","","Baseline","All","Warbreaker,In For The Kill","","","","","Action","","","Passive","Target","","","","","Not Started","","Single-target alternative to Warbreaker. Extends In For The Kill duration."
"WAR__Warbreaker_","Warbreaker","WB","turns Colossus Smash into a multitarget attack, extremely important for effective AoE damage.","turns Colossus Smash into a multitarget attack, extremely important for effective AoE damage.","Offensive","","Arms,AoE,Cooldown,Debuff","","7","","","Baseline","All","Colossus Smash","","","","","Action","","45 seconds","Spell_Zone","Zone","DealDamage(3d10+StrengthModifier,Physical);ApplyStatus(WAR_COLOSSUS_SMASH,100,10)","","3d10+StrengthModifier,Physical","","Not Started","","Requires Colossus Smash talent"
"WAR__Massacre_","Massacre","","Execute becomes usable on targets below 35% HP instead of 20%","allows more frequent use of Execute.","Offensive","","Arms,Execute-Build,Execute-Extension","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Extends Execute window"
"WAR__Storm_of_Swords_","Storm of Swords","","largely unnecessary, resulting in overcapping.","largely unnecessary, resulting in overcapping.","Passive","","Arms,Overpower-Build,Rage-Generation","","","","","Baseline","All","","","","Overpower","","Action","","","Passive","Target","","","","","Not Started","","Largely unnecessary, results in rage overcapping. Generates rage on Overpower."
"WAR__Bloodcraze_","Bloodcraze","","creates strong synergy between Raging Blow and Bloodthirst, though it resets after any critical s...","creates strong synergy between Raging Blow and Bloodthirst, though it resets after any critical strike from Bloodthirst.","Offensive","","Fury,Proc,Rage-Generation","","","","","Baseline","All","","","","Bloodthirst","","Action","","","Passive","Target","","","","","Not Started","","Enhances Bloodthirst rage generation"
"WAR__Recklessness_","Recklessness","Reck","Fury's primary offensive cooldown, greatly increasing rage generation and the frequency of Rampag...","Fury's primary offensive cooldown, greatly increasing rage generation and the frequency of Rampage casts.","Offensive","","Fury,Cooldown,Burst","","","7","","Baseline","All","","","","","","Action","","90 seconds (OncePerCombat)","Spell_Shout","Shout","ApplyStatus(SELF,WAR_RECKLESSNESS,100,6)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=1719"
"WAR__Wrath_and_Fury_","Wrath and Fury","","a moderate damage and reset chance increase for Raging Blow.","a moderate damage and reset chance increase for Raging Blow.","Passive","","Fury,Raging-Blow-Enhancement,Reset-Mechanic","","","","","Baseline","All","","","","Raging Blow","","None","","","Passive","N/A","","","","","Not Started","","Moderate damage and reset chance increase for Raging Blow."
"WAR__Meat_Cleaver_","Meat Cleaver","","reduces the amount of Whirlwind casts needed to maintain multitarget cleave.","reduces the amount of Whirlwind casts needed to maintain multitarget cleave.","Offensive","","Fury,AoE,Cleave","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Enables cleave after Whirlwind"
"WAR__Tough_as_Nails_","Tough as Nails","TaN","Passive damage output whenever you block an attack, recently buffed, however, still not a popular...","Passive damage output whenever you block an attack, recently buffed, however, still not a popular or strong choice.","Passive","","Protection,Block,Damage-On-Block","","","","7","Baseline","All","Shield Block","","","","","None","","","Passive","N/A","","","","","Not Started","","Passive damage whenever you block. Recently buffed, still underwhelming."
"WAR__Shield_Wall_","Shield Wall","SW","Iconic, mandatory defensive cooldown. The ultimate tank defensive cooldown. Take it.","Iconic, mandatory defensive cooldown. The ultimate tank defensive cooldown. Take it.","Defensive","","Protection,Defensive,Cooldown","","","","7","Baseline","All","","","","","","Action","","5 minutes (OncePerCombat)","Spell_Shout","Shout","ApplyStatus(SELF,WAR_SHIELD_WALL,100,8)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=871"
"WAR__Enduring_Defenses_","Enduring Defenses","ED","Incredible defensive bonus, simply grants 33% more Shield Block uptime. Massive increase to Prote...","Incredible defensive bonus, simply grants 33% more Shield Block uptime. Massive increase to Protection Warriors ability to survive damage in any situation.","Passive","","Protection,Block,Duration-Extension,Critical","","","","7","Baseline","All","Shield Block","","","","","None","","","Passive","N/A","","","","","Not Started","","Incredible defensive bonus - grants 33% more Shield Block uptime. Massive survivability boost."
"WAR_Unyielding_Stance","Unyielding Stance","","Simple increase of  Defensive Stance damage reduction. Required for pathing.","Simple increase of  Defensive Stance damage reduction. Required for pathing.","Passive","","Passive,Defensive,Mitigation","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Passive damage mitigation"
"WAR_Red_Right_Hand","Red Right Hand","","Simple increase of  Execute damage. Great in combination with other Execute talents.","Simple increase of  Execute damage. Great in combination with other Execute talents.","Passive","","Arms,Execute-Enhancement,Damage-Boost","","","","","Baseline","All","","","","Execute","","None","","","Passive","N/A","","","","","Not Started","","Simple Execute damage increase. Great in combination with other Execute talents."
"WAR__Cruel_Strikes_","Cruel Strikes","","a minor increase to Execute, smaller than it may seem.","a minor increase to Execute, smaller than it may seem.","Passive","","Fury,Execute-Enhancement,Critical","","","","","Baseline","All","","","","Execute","","None","","","Passive","N/A","","","","","Not Started","","Minor Execute crit increase. Smaller than it may seem."
"WAR__Wild_Strikes_","Wild Strikes","","deceptively powerful due to the already high frequency of auto-attacks.","deceptively powerful due to the already high frequency of auto-attacks.","Offensive","","Fury,Proc,Raging-Blow-Enhancement","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Extra attack proc for Raging Blow"
"WAR__Dual_Wield_Specialization_","Dual Wield Specialization","","a must-have passive damage increase.","a must-have passive damage increase.","Passive","","Fury,Dual-Wield,Damage-Boost,Critical","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Must-have passive damage increase for dual-wielding."
"WAR__Armored_to_the_Teeth_","Armored to the Teeth","","near indispensable damage increase that helps gear scaling over the course of an expansion.","near indispensable damage increase that helps gear scaling over the course of an expansion.","Passive","","Passive,Armor,Damage-Scaling,Critical","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Near indispensable damage increase. Helps gear scaling over expansion."
"WAR__Deft_Experience_","Deft Experience","","a minor Mastery increase, with the much more important effect of doubling the chance to trigger T...","a minor Mastery increase, with the much more important effect of doubling the chance to trigger Tactician.","Passive","","Arms,Passive,Proc","","","","","Baseline","All","Tactician","","","","","None","","","Passive","N/A","","","","","Not Started","","Enhances Tactician - bidirectional dependency"
"WAR__Valor_in_Victory_","Valor in Victory","","a minor Versatility increase, which also reduces the cooldown of Die by the Sword.","a minor Versatility increase, which also reduces the cooldown of Die by the Sword.","Passive","","Passive,Cooldown-Reduction","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Reduces cooldowns - BG3 implementation may need custom functor"
"WAR__Critical_Thinking_","Critical Thinking","","a minor Critical Strike increase, with a very impactful rage refund for Execute, which is also ad...","a minor Critical Strike increase, with a very impactful rage refund for Execute, which is also additive with Improved Execute for a combined 30% refund.","Passive","","Passive,Execute-Build,Critical","","","","","Baseline","All","","","","Execute","","None","","","Passive","N/A","","","","","Not Started","","Modifies Execute crit chance"
"WAR__Raging_Armaments_","Raging Armaments","","minor mastery buff, with a very important Enrage extension, which helps keep Bloodthirst active i...","minor mastery buff, with a very important Enrage extension, which helps keep Bloodthirst active in the rotation.","Passive","","Passive,Enrage,Conditional-Boost","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Conditional bonus while Enraged status active"
"WAR__Swift_Strikes_","Swift Strikes","","a minor haste buff, with a small rage generation increase which adds up significantly over the co...","a minor haste buff, with a small rage generation increase which adds up significantly over the course of a dungeon or encounter.","Passive","","Passive,Rage-Generation","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Increases Rage generation under specific conditions"
"WAR_Defender_s_Aegis","Defender's Aegis","DA","Grants a 2nd charge of  Shield Wall and significantly reduces the base cooldown.","Grants a 2nd charge of  Shield Wall and significantly reduces the base cooldown.","Passive","","Passive,Cooldown-Reduction","","","","8","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Reduces cooldowns - BG3 implementation may need custom functor"
"WAR_Impenetrable_Wall","Impenetrable Wall","Imp Wall","Reduces the cooldown of  Shield Wall whenever you cast  Shield Slam.","Reduces the cooldown of  Shield Wall whenever you cast  Shield Slam.","Defensive","","Protection,Defensive,CC-Immunity","","","","8","Baseline","All","Shield Wall","","","","","Action","","","Passive","Target","","","","","Not Started","","Enhances Shield Wall with CC immunity"
"WAR__Focused_Vigor_","Focused Vigor","FV","Amazing Talent, offers huge amounts of damage output and Armor for just 1 Talent point, not manda...","Amazing Talent, offers huge amounts of damage output and Armor for just 1 Talent point, not mandatory for pathing but heavily encouraged to pick up!","Offensive","","Protection,Defensive,Healing","","","","8","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Conditional healing boost during Avatar"
"WAR__Shield_Specialization_","Shield Specialization","","Outstanding defensive bonus. Greatly reduces damage taken from blockable hits and is crucial for ...","Outstanding defensive bonus. Greatly reduces damage taken from blockable hits and is crucial for pathing to the Talents that enable the ""Rage Feedback Machine"" further.","Defensive","","Protection,Passive,Block","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Simple block chance boost"
"WAR__Enduring_Alacrity_","Enduring Alacrity","EA","A significant increase in Health and 2% Haste gain makes this talent one of the most attractive t...","A significant increase in Health and 2% Haste gain makes this talent one of the most attractive talents on our talent tree.","Passive","","Passive,Haste,Attack-Speed","","","","8","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Haste passive - BG3 equivalent could be bonus action or extra attack"
"WAR__Thunderous_Roar_","Thunderous Roar","Roar","stronger than it may seem, due to its bleed damage being uncapped, allowing it to fully damage an...","stronger than it may seem, due to its bleed damage being uncapped, allowing it to fully damage any number of extra targets.","Offensive","","Arms,AoE,Bleed,Cooldown","","9","9","9","Baseline","All","","","","","","Action","","90 seconds (OncePerCombat)","Spell_Zone","Zone","DealDamage(2d8+StrengthModifier,Thunder);ApplyStatus(WAR_THUNDEROUS_BLEED,100,5)","","2d8+StrengthModifier,Thunder","","Not Started","","Wowhead: https://www.wowhead.com/spell=384318"
